Date : 2022-04-25 21:12:28
Directory : d:\Employment\code\Club_Management_System\vue-element-admin\src
Total : 303 files,  22819 codes, 1346 comments, 1577 blanks, all 25742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        163 |     18,466 |        699 |      1,041 |     20,206 |
| JavaScript |         78 |      3,352 |        591 |        384 |      4,327 |
| SCSS       |          9 |        920 |         43 |        146 |      1,109 |
| XML        |         50 |         50 |          0 |          0 |         50 |
| CSS        |          2 |         26 |          0 |          1 |         27 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        303 |     22,819 |      1,346 |      1,577 |     25,742 |
| api                                                                                                                   |         12 |        218 |         68 |         28 |        314 |
| assets                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\custom-theme                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| components                                                                                                            |         44 |      6,317 |        220 |        276 |      6,813 |
| components\BackToTop                                                                                                  |          1 |        105 |          0 |          7 |        112 |
| components\Breadcrumb                                                                                                 |          1 |         73 |          3 |          7 |         83 |
| components\Charts                                                                                                     |          4 |        687 |          4 |         22 |        713 |
| components\Charts\mixins                                                                                              |          1 |         48 |          4 |          5 |         57 |
| components\DndList                                                                                                    |          1 |        155 |          2 |         10 |        167 |
| components\DragSelect                                                                                                 |          1 |         59 |          2 |          5 |         66 |
| components\Dropzone                                                                                                   |          1 |        265 |         11 |         22 |        298 |
| components\ErrorLog                                                                                                   |          1 |         75 |          0 |          4 |         79 |
| components\GithubCorner                                                                                               |          1 |         51 |          0 |          4 |         55 |
| components\Hamburger                                                                                                  |          1 |         41 |          0 |          4 |         45 |
| components\HeaderSearch                                                                                               |          1 |        160 |          8 |         13 |        181 |
| components\ImageCropper                                                                                               |          5 |      1,968 |         99 |         14 |      2,081 |
| components\ImageCropper\utils                                                                                         |          4 |        280 |         15 |          6 |        301 |
| components\JsonEditor                                                                                                 |          1 |         69 |          1 |          8 |         78 |
| components\Kanban                                                                                                     |          1 |         91 |          2 |          7 |        100 |
| components\MDinput                                                                                                    |          1 |        341 |         13 |          7 |        361 |
| components\MarkdownEditor                                                                                             |          2 |        144 |          2 |          5 |        151 |
| components\Pagination                                                                                                 |          1 |         98 |          0 |          4 |        102 |
| components\PanThumb                                                                                                   |          1 |        118 |         12 |         13 |        143 |
| components\RightPanel                                                                                                 |          1 |        136 |          0 |         10 |        146 |
| components\Screenfull                                                                                                 |          1 |         57 |          0 |          4 |         61 |
| components\Share                                                                                                      |          1 |        101 |          0 |          3 |        104 |
| components\SizeSelect                                                                                                 |          1 |         52 |          1 |          5 |         58 |
| components\Sticky                                                                                                     |          1 |         90 |          0 |          2 |         92 |
